timestamp,total_pods,cpu_used_millicores,memory_used_mb,cpu_allocatable_millicores,memory_allocatable_mb,cpu_usage_percent,memory_usage_percent,cpu_idle_percent,memory_idle_percent,cpu_requests_percent,memory_requests_percent
2025-06-28 04:39:31,12,126,983,4000,15765.2,3.15,6.23,96.85,93.77,0,0
2025-06-28 04:39:42,12,126,983,4000,15765.2,3.15,6.23,96.85,93.77,0,0
2025-06-28 04:39:52,12,126,983,4000,15765.2,3.15,6.23,96.85,93.77,0,0
